Product,Search Keywords,Name,Price,Item Type,UPC,Primary Barcode,Size,width,RowPriority
10027515,,Ariat Men's Liberty USA Digi Camo T-Shirt - Brown Heather,32.95,3,,,,,1
10027515,,,32.95,,889359918071,19325130,S,,0
10027515,,,32.95,,889359918088,19325131,M,,0
10027515,,,32.95,,889359918095,19325132,L,,0
10027515,,,32.95,,889359918101,19325133,XL,,0
10027515,,,32.95,,889359918118,19325134,2X,,0
10027515,,,32.95,,197318284823,19325135,3X,,0
10054533,,Ariat Men's Rebar Heat Fighter Staple T-Shirt - Wild Dove,29.95,3,,,,,1
10054533,,,29.95,,                         ,19320712,XS,,0
10054533,,,29.95,,197318318863,19320713,S,,0
10054533,,,29.95,,197318318870,19320714,M,,0
10054533,,,29.95,,197318318887,19320715,L,,0
10054533,,,29.95,,197318318894,19320716,XL,,0
10054533,,,29.95,,197318318900,19320717,2X,,0
10058729,,"Ariat Men's Rebar DuraStretch Made Tough 8"" Short - Grey",44.95,3,,,,,1
10058729,,,44.95,,197318424014,19320729,28,REGULAR,0
10058729,,,44.95,,197318424021,19320730,29,REGULAR,0
10058729,,,44.95,,197318424038,19320731,30,REGULAR,0
10058729,,,44.95,,197318424045,19320732,31,REGULAR,0
10058729,,,44.95,,197318424052,19320733,32,REGULAR,0
10058729,,,44.95,,197318424069,19320734,33,REGULAR,0
10058729,,,44.95,,197318424076,19320735,34,REGULAR,0
10058729,,,44.95,,197318424083,19320736,35,REGULAR,0
10058729,,,44.95,,197318424090,19320737,36,REGULAR,0
10058729,,,44.95,,197318424106,19320738,38,REGULAR,0
10058729,,,44.95,,197318424113,19320739,40,REGULAR,0
10058729,,,44.95,,197318424120,19320740,42,REGULAR,0
10058730,,"Ariat Men's Rebar DuraStretch Made Tough 8"" Short - Khaki",44.95,3,,,,,1
10058730,,,44.95,,197318425660,19320741,28,REGULAR,0
10058730,,,44.95,,197318425677,19320742,29,REGULAR,0
10058730,,,44.95,,197318425684,19320743,30,REGULAR,0
10058730,,,44.95,,197318425691,19320744,31,REGULAR,0
10058730,,,44.95,,197318425707,19320745,32,REGULAR,0
10058730,,,44.95,,197318425714,19320746,33,REGULAR,0
10058730,,,44.95,,197318425721,19320747,34,REGULAR,0
10058730,,,44.95,,197318425738,19320748,35,REGULAR,0
10058730,,,44.95,,197318425745,19320749,36,REGULAR,0
10058730,,,44.95,,197318425752,19320750,38,REGULAR,0
10058730,,,44.95,,197318425769,19320751,40,REGULAR,0
10058730,,,44.95,,197318425776,19320752,42,REGULAR,0
10060357,,Ariat Men's Rebar M5 Straight DuraStretch Cargo Pant - Black,79.95,3,,,,,1
10060357,,,79.95,,197318434723,19320765,28,30,0
10060357,,,79.95,,197318434730,19320766,29,30,0
10060357,,,79.95,,197318434747,19320767,30,30,0
10060357,,,79.95,,197318634321,19320768,31,30,0
10060357,,,79.95,,197318434754,19320769,32,30,0
10060357,,,79.95,,197318434761,19320770,33,30,0
10060357,,,79.95,,197318434778,19320771,34,30,0
10060357,,,79.95,,197318434785,19320772,35,30,0
10060357,,,79.95,,197318434792,19320773,36,30,0
10060357,,,79.95,,197318434808,19320774,38,30,0
10060357,,,79.95,,197318434815,19320775,40,30,0
10060357,,,79.95,,197318434822,19320776,42,30,0
10060357,,,79.95,,197318434839,19320777,28,32,0
10060357,,,79.95,,197318434846,19320778,29,32,0
10060357,,,79.95,,197318434853,19320779,30,32,0
10060357,,,79.95,,197318434860,19320780,31,32,0
10060357,,,79.95,,197318434877,19320781,32,32,0
10060357,,,79.95,,197318434884,19320782,33,32,0
10060357,,,79.95,,197318434891,19320783,34,32,0
10060357,,,79.95,,197318434907,19320784,35,32,0
10060357,,,79.95,,197318434914,19320785,36,32,0
10060357,,,79.95,,197318434921,19320786,38,32,0
10060357,,,79.95,,197318434938,19320787,40,32,0
