"Product","Search Keywords","Name","Price","Item Type","UPC","Primary Barcode","Size","width","Color","Brand","PrefVendor","RowPriority"
"30100057","","Earth Rated GrmWipe Unscnt 100ct","10.49","4","","","","","","""EARTH RATED""","""PFX""","1"
"30100057","","","10.49","","870856000574","19324714","One Size","","","""EARTH RATED""","""PFX""","0"
"30100094","","Earth Rated Unsctd Bag Dispenser","5.99","4","","","","","","""EARTH RATED""","""PFX""","1"
"30100094","","","5.99","","870856000949","19321696","One Size","","","""EARTH RATED""","""PFX""","0"
"30100143","","Earth Rated Poop Bag Unsctd Single","1","4","","","","","","""EARTH RATED""","""PFX""","1"
"30100143","","","1","","30870856001435","19321695","One Size","","","""EARTH RATED""","""PFX""","0"
"30100143","","","1","","870856001434","19321695","One Size","","","""EARTH RATED""","""PFX""","0"
"30100192","","Earth Rated Dog Eye Wipes 60ct","11.99","4","","","","","","""EARTH RATED""","""PFX""","1"
"30100192","","","11.99","","870856001922","19322592","One Size","","","""EARTH RATED""","""PFX""","0"
"708000","","Earth Rated Poop Bags 8pk Scnt","9.49","4","","","","","","""EARTH RATED""","""PFX""","1"
"708000","","","9.49","","870856000024","500102268600","8PK","","","""EARTH RATED""","""PFX""","0"
"708002","","Earth Rated Handle Poop Bags","8.49","4","","","","","","""EARTH RATED""","""PFX""","1"
"708002","","","8.49","","870856000055","500102268617","120","","","""EARTH RATED""","""PFX""","0"
"26007","","EB Puppy Shampoo","22.99","4","","","","","","""EARTHBATH""","""PHIL""","1"
"26007","","","22.99","","602644021313","500102843142","16OZ","","","""EARTHBATH""","""PHIL""","0"
"26008","","EB Mediterranean Magic Shampoo","22.99","4","","","","","","""EARTHBATH""","""PHIL""","1"
"26008","","","22.99","","602644020613","500102843104","16OZ","","","""EARTHBATH""","""PHIL""","0"
"26015","","EB Frangrance Free Shampoo","22.99","4","","","","","","""EARTHBATH""","""PHIL""","1"
"26015","","","22.99","","602644021818","500102843166","16OZ","","","""EARTHBATH""","""PHIL""","0"
"26201","","EB Vanilla Almond Spritz","17.99","4","","","","","","""EARTHBATH""","""PHIL""","1"
"26201","","","17.99","","602644022037","500102843241","8OZ","","","""EARTHBATH""","""PHIL""","0"
"40054121","","Earthborn Sea Catch CT 4lb","15.99","4","","","","","","""EARTHBORN""","""PFX""","1"
"40054121","","","15.99","","034846541212","19318393","One Size","","","""EARTHBORN""","""PFX""","0"
"ESP1004369","","Esp Lux Remoist Conditioner 1 Gal","64.99","4","","","","","","""ESPREE""","""TICK""","1"
"ESP1004369","","","64.99","","748406001039","19300815","One Size","","","""ESPREE""","""TICK""","0"
"ESP1031878","","Esp D Bright White ShamCond Gal","57.99","4","","","","","","""ESPREE""","""TICK""","1"
"ESP1031878","","","57.99","","748406001046","19300816","One Size","","","""ESPREE""","""TICK""","0"
"ESP1031878","","","57.99","","748406003286","19300816","One Size","","","""ESPREE""","""TICK""","0"
"ESP1031886","","Esp D Smpl Shed Sham+Cond Gal","70.99","4","","","","","","""ESPREE""","""TICK""","1"
"ESP1031886","","","70.99","","748406000605","19300817","One Size","","","""ESPREE""","""TICK""","0"
"ESP1031886","","","70.99","","748406004139","19300817","One Size","","","""ESPREE""","""TICK""","0"
