"Item","ID","Name","Type","SKU","Options","Inventory","Current Stock","Price","Search Keywords","UPC/EAN","Free Shipping","Fixed Shipping Cost","Weight","Width","Height","Depth","Is Visible","Is Featured","Tax Class","Product Condition","Show Product Condition","Sort Order"
"Product","","Earth Rated GrmWipe Unscnt 100ct","physical","30100057","","variant","0","10.49","30100057, Earth, Rated, GrmWipe, Unscnt, 100ct","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19324714","Type=Rectangle|Name=Size|Value=One Size","","","","","870856000574","False","","","","","","","","","","",""
"Product","","Earth Rated Unsctd Bag Dispenser","physical","30100094","","variant","0","5.99","30100094, Earth, Rated, Unsctd, Bag, Dispenser","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19321696","Type=Rectangle|Name=Size|Value=One Size","","","","","870856000949","False","","","","","","","","","","",""
"Product","","Earth Rated Poop Bag Unsctd Single","physical","30100143","","variant","0","1","30100143, Earth, Rated, Poop, Bag, Unsctd, Single","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19321695","Type=Rectangle|Name=Size|Value=One Size","","","","","30870856001435","False","","","","","","","","","","",""
"Variant","","","","19321695","Type=Rectangle|Name=Size|Value=One Size","","","","","870856001434","False","","","","","","","","","","",""
"Product","","Earth Rated Dog Eye Wipes 60ct","physical","30100192","","variant","0","11.99","30100192, Earth, Rated, Dog, Eye, Wipes, 60ct","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19322592","Type=Rectangle|Name=Size|Value=One Size","","","","","870856001922","False","","","","","","","","","","",""
"Product","","Earth Rated Poop Bags 8pk Scnt","physical","708000","","variant","0","9.49","708000, Earth, Rated, Poop, Bags, 8pk, Scnt","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102268600","Type=Rectangle|Name=Size|Value=8PK","","","","","870856000024","False","","","","","","","","","","",""
"Product","","Earth Rated Handle Poop Bags","physical","708002","","variant","0","8.49","708002, Earth, Rated, Handle, Poop, Bags","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102268617","Type=Rectangle|Name=Size|Value=120","","","","","870856000055","False","","","","","","","","","","",""
"Product","","EB Puppy Shampoo","physical","26007","","variant","0","22.99","26007, EB, Puppy, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843142","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644021313","False","","","","","","","","","","",""
"Product","","EB Mediterranean Magic Shampoo","physical","26008","","variant","0","22.99","26008, EB, Mediterranean, Magic, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843104","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644020613","False","","","","","","","","","","",""
"Product","","EB Frangrance Free Shampoo","physical","26015","","variant","0","22.99","26015, EB, Frangrance, Free, Shampoo","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843166","Type=Rectangle|Name=Size|Value=16OZ","","","","","602644021818","False","","","","","","","","","","",""
"Product","","EB Vanilla Almond Spritz","physical","26201","","variant","0","17.99","26201, EB, Vanilla, Almond, Spritz","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","500102843241","Type=Rectangle|Name=Size|Value=8OZ","","","","","602644022037","False","","","","","","","","","","",""
"Product","","Earthborn Sea Catch CT 4lb","physical","40054121","","variant","0","15.99","40054121, Earthborn, Sea, Catch, CT, 4lb","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19318393","Type=Rectangle|Name=Size|Value=One Size","","","","","034846541212","False","","","","","","","","","","",""
"Product","","Esp Lux Remoist Conditioner 1 Gal","physical","ESP1004369","","variant","0","64.99","ESP1004369, Esp, Lux, Remoist, Conditioner, 1, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300815","Type=Rectangle|Name=Size|Value=One Size","","","","","748406001039","False","","","","","","","","","","",""
"Product","","Esp D Bright White ShamCond Gal","physical","ESP1031878","","variant","0","57.99","ESP1031878, Esp, D, Bright, White, ShamCond, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300816","Type=Rectangle|Name=Size|Value=One Size","","","","","748406001046","False","","","","","","","","","","",""
"Variant","","","","19300816","Type=Rectangle|Name=Size|Value=One Size","","","","","748406003286","False","","","","","","","","","","",""
"Product","","Esp D Smpl Shed Sham+Cond Gal","physical","ESP1031886","","variant","0","70.99","ESP1031886, Esp, D, Smpl, Shed, Sham+Cond, Gal","","False","0","5","10","8","6","False","False","0","New","False","0"
"Variant","","","","19300817","Type=Rectangle|Name=Size|Value=One Size","","","","","748406000605","False","","","","","","","","","","",""
