"MKT GROUP","Dept.","Product Type","Subtype 1","Brand","PRODUCT","Description","Retail Price","SEASON","First Rcvd","Added","Needs Description","Needs Photo","Notes"
"APPAR","APACC APPAREL ACCESSORIES","MBELT MEN`S BELTS","BASIC MEN`S BASIC BELTS","3D LEATHER PRODUCTS","D1162","3D M Made In USA Dist Brown Belt","44","AYR","04/29/2024","","","",""
"PET","DOGFOO DOG FOOD (CANS-RAW-OTHER)","REFRG GENTLY COOKED DOG FOOD","","A PUP ABOVE","17137751","Pup Above GF Tx Beef Stw 1lb","14.99","AYR","10/19/2023","","","",""
"PET","DOGFOO DOG FOOD (CANS-RAW-OTHER)","REFRG GENTLY COOKED DOG FOOD","","A PUP ABOVE","17137753","Pup Above Tky Pawella 1lb","13.99","AYR","10/19/2023","","","",""
"PET","DOGFOO DOG FOOD (CANS-RAW-OTHER)","REFRG GENTLY COOKED DOG FOOD","","A PUP ABOVE","17181372","Pup Above Chick Bow Wow 1lb","13.99","AYR","10/19/2023","","","",""
"PET","DOGFOO DOG FOOD (CANS-RAW-OTHER)","REFRG GENTLY COOKED DOG FOOD","","A PUP ABOVE","17181379","Pup Above GF Porky Luau 1lb","13.99","AYR","10/19/2023","","","",""
"PET","DOGFOO DOG FOOD (CANS-RAW-OTHER)","REFRG GENTLY COOKED DOG FOOD","","A PUP ABOVE","17195024","Pup Above GF Fish GnWld 1lb","15.99","SPR26","05/05/2026","","","",""
"PET","SMANIM SMALL ANIMAL","TREAT TREATS","","A+E CAGE COMPANY","001757","A+E SmackERs Veggie Trt 2pcs","5.09","AYR","10/04/2019","","","",""
"PET","SMANIM SMALL ANIMAL","TREAT TREATS","","A+E CAGE COMPANY","001758","A+E Smakers Snack Nut 2 pack","5.69","AYR","07/13/2020","","","",""
"PET","SMANIM SMALL ANIMAL","TOY TOYS","","A+E CAGE COMPANY","002013","Nibbles Triangle w/Ball Chew","3.99","AYR","05/14/2021","","","",""
"PET","SMANIM SMALL ANIMAL","SMMISC MISC.","","A+E CAGE COMPANY","002026","Nibbles Corner Shelf Small","7.99","AYR","05/14/2021","","","",""
"PET","SMANIM SMALL ANIMAL","SMMISC MISC.","","A+E CAGE COMPANY","002027","Nibbles Corner Shelf Large","11.29","AYR","05/14/2021","","","",""
"PET","SMANIM SMALL ANIMAL","TOY TOYS","","A+E CAGE COMPANY","2015","Nibbles Loofah Lolipop Chew","3.69","AYR","05/14/2021","","","",""
"PET","SMANIM SMALL ANIMAL","TOY TOYS","","A+E CAGE COMPANY","002016","Nibble Loofah Eggplant Chew 2p","4.79","SPR21","05/14/2021","","","",""
"PET","SMANIM SMALL ANIMAL","SMMISC MISC.","","A+E CAGE COMPANY","002025","Nibbles Wood Platform Lrg","10.99","SPR21","05/14/2021","","","",""
"EQUI","GHORSE GENERAL HORSE SUPPLY","FIRSTA FIRST AID","","ABSORBINE","098035","Absorbine Liniment Gel 12oz","25.99","AYR","01/14/2019","","","",""
"EQUI","GHORSE GENERAL HORSE SUPPLY","FIRSTA FIRST AID","","ABSORBINE","688192","Absorbine Liniment Gel 3oz","9.99","AYR","05/20/2019","","","",""
